kind,key,name,team,fotmob_id,file,status
face,118,Harry Maguire,England,255610,outputs/assets/faces/118.png,ok
face,8042,Wojciech Szczesny,Poland,169718,outputs/assets/faces/8042.png,ok
face,5097,Ibrahima Konaté,France,820140,outputs/assets/faces/5097.png,ok
face,1675,Raphael Varane,France,230982,outputs/assets/faces/1675.png,ok
face,1687,Luka Modric,Croatia,31097,outputs/assets/faces/1687.png,ok
face,1534,Antoine Griezmann,France,184138,outputs/assets/faces/1534.png,ok
face,1789,Jules Kounde,France,705450,outputs/assets/faces/1789.png,ok
face,963,Tajon Buchanan,Canada,1026135,outputs/assets/faces/963.png,ok
face,13945,Boualem Khoukhi,Qatar,308921,outputs/assets/faces/13945.png,ok
face,8026,Daley Blind,Netherlands,161012,outputs/assets/faces/8026.png,ok
face,4625,Robert Lewandowski,Poland,93447,outputs/assets/faces/4625.png,ok
face,13864,Yahia Attiat-Allah,Morocco,903233,outputs/assets/faces/13864.png,ok
face,13819,Mitchell Duke,Australia,245633,outputs/assets/faces/13819.png,ok
face,12502,Min Jae Kim,South Korea,828159,outputs/assets/faces/12502.png,ok
face,8134,Denzel Dumfries,Netherlands,593118,outputs/assets/faces/8134.png,ok
face,2074,Raphinha,Brazil,696679,outputs/assets/faces/2074.png,ok
face,3343,Guillermo Ochoa,Mexico,31047,outputs/assets/faces/3343.png,ok
face,4758,Ellyes Skhiri,Tunisia,574642,outputs/assets/faces/4758.png,ok
face,4908,Dani Olmo,Spain,614834,outputs/assets/faces/4908.png,ok
face,14034,Lawrence Ati Zigi,Ghana,615411,outputs/assets/faces/14034.png,ok
face,1683,Casemiro,Brazil,208494,outputs/assets/faces/1683.png,ok
face,1025,Kamal Miller,Canada,1027412,outputs/assets/faces/1025.png,ok
face,37,Virgil van Dijk,Netherlands,209405,outputs/assets/faces/37.png,ok
face,8341,Gavi,Spain,1279040,outputs/assets/faces/8341.png,ok
face,1971,Tim Ream,United States,198444,outputs/assets/faces/1971.png,ok
face,926,Alistair Johnston,Canada,1055426,outputs/assets/faces/926.png,ok
face,127,Diogo Dalot,Portugal,751550,outputs/assets/faces/127.png,ok
face,7443,Christian Eriksen,Denmark,157723,outputs/assets/faces/7443.png,ok
face,163,Bukayo Saka,England,961995,outputs/assets/faces/163.png,ok
face,7988,Boulaye Dia,Senegal,972120,outputs/assets/faces/7988.png,ok
face,8583,Theo Hernandez,France,724371,outputs/assets/faces/8583.png,ok
face,4677,Jude Bellingham,England,1077894,outputs/assets/faces/4677.png,ok
face,3303,Jesús Gallardo,Mexico,597976,outputs/assets/faces/3303.png,ok
face,3841,Keylor Navas,Costa Rica,51949,outputs/assets/faces/3841.png,ok
face,27,Bernardo Silva,Portugal,488139,outputs/assets/faces/27.png,ok
face,11094,Cody Gakpo,Netherlands,806552,outputs/assets/faces/11094.png,ok
face,1977,André Zambo Anguissa,Cameroon,612863,outputs/assets/faces/1977.png,ok
face,200,Kasper Schmeichel,Denmark,37770,outputs/assets/faces/200.png,ok
face,13935,Hernan Galindez,Ecuador,146801,outputs/assets/faces/13935.png,ok
face,10,John Stones,England,263653,outputs/assets/faces/10.png,ok
face,1684,Federico Valverde,Uruguay,743533,outputs/assets/faces/1684.png,ok
face,13872,Collins Fai,Cameroon,462085,outputs/assets/faces/13872.png,ok
face,5029,Silvan Widmer,Switzerland,275034,outputs/assets/faces/5029.png,ok
face,13923,Gue-sung Cho,South Korea,1026781,outputs/assets/faces/13923.png,ok
face,1681,Achraf Hakimi,Morocco,770881,outputs/assets/faces/1681.png,ok
face,1368,Jose Gimenez,Uruguay,474589,outputs/assets/faces/1368.png,ok
face,8343,Sergiño Dest,United States,892816,outputs/assets/faces/8343.png,ok
face,8061,Danilo,Brazil,362120,outputs/assets/faces/8061.png,ok
face,1810,Youssef En-Nesyri,Morocco,788555,outputs/assets/faces/1810.png,ok
face,1785,Bono,Morocco,621547,outputs/assets/faces/1785.png,ok
face,12514,Piotr Zielinski,Poland,362212,outputs/assets/faces/12514.png,ok
face,113,Olivier Giroud,France,46469,outputs/assets/faces/113.png,ok
face,11241,Andries Noppert,Netherlands,466852,outputs/assets/faces/11241.png,ok
face,4606,Dayot Upamecano,France,658554,outputs/assets/faces/4606.png,ok
face,1695,Vinícius Junior,Brazil,846033,outputs/assets/faces/1695.png,ok
face,4626,Eric Maxim Choupo-Moting,Cameroon,95082,outputs/assets/faces/4626.png,ok
face,5116,Cristian Romero,Argentina,789066,outputs/assets/faces/5116.png,ok
face,13848,Kamil Glik,Poland,150670,outputs/assets/faces/13848.png,ok
face,14010,Firas Al-Buraikan,Saudi Arabia,844226,outputs/assets/faces/14010.png,ok
face,17,João Cancelo,Portugal,361757,outputs/assets/faces/17.png,ok
face,1991,Aleksandar Mitrovic,Serbia,351860,outputs/assets/faces/1991.png,ok
face,157,Granit Xhaka,Switzerland,207236,outputs/assets/faces/157.png,ok
face,4674,Axel Witsel,Belgium,39591,outputs/assets/faces/4674.png,ok
face,13911,Young-gwon Kim,South Korea,460632,outputs/assets/faces/13911.png,ok
face,240,Rúben Neves,Portugal,534684,outputs/assets/faces/240.png,ok
face,214,Nampalys Mendy,Senegal,210128,outputs/assets/faces/214.png,ok
